ID,Species,Sex,SVL (mm),Mass (g),Femur Length (mm),Tibia Length (mm),4th-toe Metatarsal Length (mm),4th-toe Phalanges Length (mm),Humerus Length (mm),Ulna Length (mm),3rd-toe metacarpal+phalanges Length (mm),Head Length (mm),Head Width (mm),Pectoral Width (mm),Pelvis Width (mm),Tail Length (mm),3rd-toe Forefoot Toepad (mm2),4th-toe Hindfoot Toepad (mm2)
C39,A. cristatellus,M,73,11.19,17.1118,14.2385,8.3122,9.9626,12.2952,10.306,8.0113,18.5424,13.0484,8.473,7.8344,80.6975,3.2881,4.3969
C40,A. cristatellus,F,50.5,2.73,11.3671,9.712,5.6654,6.9915,8.504,7.3593,5.2085,13.6247,7.9777,4.8538,5.1561,87.5382,1.0785,2.4252
C41,A. cristatellus,F,50,2.66,11.4844,9.8377,5.9501,6.5983,8.602,6.8514,4.676,12.5683,8.138,5.2578,5.0781,64.7959,1.2405,2.1409
C42,A. cristatellus,M,70.5,8.55,17.6157,14.9008,8.4968,10.7398,13.0017,10.9086,8.7579,18.7768,12.9529,8.2033,7.0171,149.2186,3.7475,5.9918
C43,A. cristatellus,M,69,9.11,16.3527,13.9563,8.0428,10.179,11.7878,9.3635,7.8201,16.9618,12.4755,8.4081,7.0001,86.5732,3.5893,5.6944
C44,A. cristatellus,M,70,9.49,17.1043,14.3475,8.6845,10.2979,12.1526,10.1149,7.3639,17.395,12.3734,8.2361,6.5587,103.836,3.6713,5.7308
C45,A. cristatellus,F,51,2.56,11.6376,9.8306,6.2338,7.1017,8.4088,6.8838,5.4925,12.6624,7.7441,5.3163,4.8728,91.9409,1.409,2.1031
C46,A. cristatellus,F,50,3.16,11.8486,10.0496,6.1572,7.3291,9.0413,7.1867,5.3369,12.6512,8.3686,5.9075,5.0657,89.6367,1.5212,2.0905
S1,A. stratulus,M,35.5,0.74,7.4684,6.41,2.9943,5.291,5.9062,4.7481,3.1215,10.3401,5.8004,3.7498,3.1341,52.2426,0.6746,0.9642
S2,A. stratulus,M,45.5,1.77,9.8296,8.8377,5.0657,6.3027,8.2842,6.9069,5.0729,12.9937,7.1192,5.0668,4.3795,77.9931,1.2133,1.942
S3,A. stratulus,M,48,1.8,9.7681,8.6212,4.7109,6.2058,8.0494,6.4869,4.6235,13.1312,7.054,4.8251,4.3972,56.0745,1.2495,1.7523
S4,A. stratulus,M,44,1.49,9.1764,7.9074,4.5079,5.4548,7.2707,6.0685,4.4994,12.1397,6.5923,4.928,4.2783,61.42,1.0261,1.7247
S5,A. stratulus,M,40.5,1.28,8.8587,7.6206,4.4815,5.3005,7.0273,5.8666,4.4145,11.1342,6.2581,4.6934,3.4925,66.3799,0.8252,1.4482
S6,A. stratulus,M,47,1.8,9.8659,8.7644,4.6576,6.1532,8.121,6.6236,5.1394,12.9897,7.3921,5.3103,4.3951,68.8291,1.2218,1.7383
S7,A. stratulus,M,36,0.81,7.6934,6.7228,3.9638,4.6538,6.1416,5.1515,3.5538,10.2364,5.9904,4.4858,2.9622,54.468,0.7355,1.0582
S8,A. stratulus,M,38.8,0.97,8.2312,6.7127,3.9882,5.1714,6.5961,5.1123,4.4212,10.957,5.8843,4.4716,3.385,54.6349,0.751,1.1702
S9,A. stratulus,M,42,1.45,8.9342,8.1069,4.3834,6.0064,7.4083,6.2694,4.4363,11.7062,6.8319,4.8651,3.8327,71.8239,1.0121,1.323
S10,A. stratulus,F,38.5,1.11,8.2154,7.3221,4.1604,4.7616,6.6691,5.9316,3.8831,10.1294,5.8806,4.0784,3.7766,65.0694,0.7364,1.2284
S11,A. stratulus,M,38,0.98,8.5254,7.1192,4.1108,5.259,6.8327,5.1117,4.0761,10.8089,6.2669,4.3123,3.2572,65.3561,0.7854,1.127
S12,A. stratulus,M,36,0.73,7.8332,6.6955,3.7523,5.0854,6.1148,5.1224,3.5815,10.1779,6.1154,4.3537,3.2498,59.761,0.6685,1.0486
S13,A. stratulus,F,36,0.76,7.2644,6.3526,3.7411,4.652,5.7802,4.587,3.4087,9.9373,5.5991,3.7814,3.1759,41.2924,0.6155,0.9522
S14,A. stratulus,M,37,0.79,8.0396,6.7431,3.513,4.6182,6.5473,5.219,3.0912,10.6052,5.6847,4.3284,3.2095,60.4947,0.5798,1.0141
S15,A. stratulus,M,48,1.95,9.8427,8.739,4.8305,6.1981,8.1049,6.6896,4.9811,12.8404,7.2493,5.0422,4.7051,79.4534,1.4149,1.9551
S16,A. stratulus,M,44.5,1.51,9.4641,8.3352,4.6573,5.4813,7.7478,6.257,4.806,12.2562,6.8263,5.0123,3.88,55.4137,0.9453,1.583
